,production_line,response,test_values_mean,test_values_std,test_values_count_mean,connection_key_numeric
0,L0_S0_F0,0,-0.09942241379310346,0.2225643493019713,5778.051724137931,0
1,L0_S0_F0,1,-0.016531645569620255,0.15139605348674035,45.67088607594936,0
2,L0_S0_F10,0,-0.1303181818181818,0.3020402663732478,30466.090909090908,10
3,L0_S0_F10,1,-0.17988888888888888,0.24261998581390584,200.44444444444446,10
4,L0_S0_F12,0,0.11360714285714285,0.24337493393036286,23937.642857142862,12
5,L0_S0_F12,1,0.018666666666666668,0.03958014951076003,200.44444444444446,12
6,L0_S0_F14,0,0.19133333333333333,0.2884240035036985,27927.25,14
7,L0_S0_F14,1,0.10800000000000001,0.2135415650406262,200.44444444444446,14
8,L0_S0_F16,0,0.03153888888888888,0.2726412578140838,3723.633333333333,16
9,L0_S0_F16,1,0.017296875,0.19678504037690905,28.1875,16
10,L0_S0_F18,0,0.04683908045977011,0.2763493170852514,3852.0344827586214,18
11,L0_S0_F18,1,0.009083333333333329,0.19466919077639125,30.066666666666666,18
12,L0_S0_F2,0,-0.10309174311926604,0.2401394865213721,6149.119266055046,2
13,L0_S0_F2,1,-0.023243589743589747,0.17077601232885836,46.256410256410255,2
14,L0_S0_F20,0,-0.08956439393939393,0.1605729156392623,1057.8674242424242,20
15,L0_S0_F20,1,0.030858695652173918,0.21948649193508427,4.902173913043479,20
16,L0_S0_F22,0,-0.08626515151515142,0.15929835984769916,1057.909090909091,22
17,L0_S0_F22,1,0.030857336956521726,0.2194841076185615,4.902173913043479,22
18,L0_S0_F4,0,0.06785714285714284,0.3305984006631133,19150.114285714284,4
19,L0_S0_F4,1,0.04907692307692308,0.30572103925990085,138.76923076923077,4
20,L0_S0_F6,0,0.05716666666666665,0.3317188568652677,18618.166666666668,6
21,L0_S0_F6,1,0.03222222222222223,0.3117747378789487,133.62962962962962,6
22,L0_S0_F8,0,-0.008476190476190476,0.2766131990790785,31916.857142857138,8
23,L0_S0_F8,1,-0.05611764705882353,0.2195159112550105,212.2352941176471,8
24,L0_S10_F219,0,0.09250917431192658,0.18289316568339284,1024.3119266055046,10219
25,L0_S10_F219,1,0.013786324786324786,0.06251038935163981,10.452991452991453,10219
26,L0_S10_F224,0,0.03925274725274724,0.2133864679969576,306.5563186813186,10224
27,L0_S10_F224,1,0.024400735294117654,0.10735400830471276,4.4963235294117645,10224
28,L0_S10_F229,0,0.16117289719626174,0.2270720615573912,1043.4766355140187,10229
29,L0_S10_F229,1,0.017389999999999996,0.07228072308225014,12.23,10229
30,L0_S10_F234,0,0.08756338028169015,0.2679367586574097,3145.309859154929,10234
31,L0_S10_F234,1,0.005921052631578947,0.011924042437496151,32.18421052631579,10234
32,L0_S10_F239,0,-0.07923076923076923,0.2568187278497403,17176.923076923078,10239
33,L0_S10_F239,1,-0.000777777777777777,0.0526278865663865,135.88888888888889,10239
34,L0_S10_F244,0,-0.010329999999999999,0.0851462891309059,1116.5,10244
35,L0_S10_F244,1,-0.004559701492537315,0.03944226030103478,9.126865671641793,10244
36,L0_S10_F249,0,0.005801229508196726,0.14541761513342538,457.58196721311475,10249
37,L0_S10_F249,1,0.0032089552238805967,0.07011245338314004,6.0845771144278595,10249
38,L0_S10_F254,0,0.05720652173913045,0.11705867362988782,1213.5869565217392,10254
39,L0_S10_F254,1,0.02070338983050848,0.051515877449932634,10.364406779661016,10254
40,L0_S10_F259,0,-0.048060869565217414,0.16626812269023772,387.4573913043478,10259
41,L0_S10_F259,1,-0.0216,0.14764949252032478,2.877647058823529,10259
42,L0_S10_F264,0,0.005294117647058824,0.04308673918699581,2189.2156862745096,10264
43,L0_S10_F264,1,0.00010638297872340463,0.01626310046186604,26.02127659574468,10264
44,L0_S10_F269,0,-0.04584057971014493,0.2944784885846121,1618.1159420289855,10269
45,L0_S10_F269,1,0.0,0.001,407.66666666666674,10269
46,L0_S10_F274,0,-0.013394366197183096,0.11028462901228923,3145.070422535212,10274
47,L0_S10_F274,1,-0.0014545454545454547,0.006738144952625864,55.59090909090909,10274
48,L0_S11_F282,0,0.03263965517241379,0.16786534248873974,384.10344827586215,11282
49,L0_S11_F282,1,0.006988095238095239,0.14334156464152714,2.8404761904761906,11282
50,L0_S11_F286,0,0.015603559870550152,0.18034809611794736,362.39805825242723,11286
51,L0_S11_F286,1,0.02309947643979057,0.12836517197064495,3.12303664921466,11286
52,L0_S11_F290,0,0.07690797546012271,0.1511020344421034,1375.8220858895706,11290
53,L0_S11_F290,1,0.02175,0.0982025967070118,12.967391304347824,11290
54,L0_S11_F294,0,0.08255647840531563,0.17576852205097393,369.56146179401986,11294
55,L0_S11_F294,1,0.03836683417085427,0.14564165715124516,2.9974874371859297,11294
56,L0_S11_F298,0,-0.012,0.33166247903553997,20387.18181818182,11298
57,L0_S11_F298,1,-0.012,0.2738612787525831,132.55555555555554,11298
58,L0_S11_F302,0,-0.0018382749326145559,0.2252222911312094,302.2358490566038,11302
59,L0_S11_F302,1,-0.0008834951456310629,0.19228390092654465,5.791262135922331,11302
60,L0_S11_F306,0,-0.034058823529411766,0.17818364293451747,365.0996732026144,11306
61,L0_S11_F306,1,-0.015255154639175253,0.13420773110979894,3.0747422680412373,11306
62,L0_S11_F310,0,0.14618791946308726,0.284160555328191,1505.0939597315437,11310
63,L0_S11_F310,1,0.05866304347826087,0.17999629282958496,12.967391304347824,11310
64,L0_S11_F314,0,0.03097722095671981,0.17216727405690732,376.5444191343964,11314
65,L0_S11_F314,1,-0.015427807486631015,0.2194670058435534,2.126559714795009,11314
66,L0_S11_F318,0,0.002197329376854584,0.1962823221987044,332.28783382789317,11318
67,L0_S11_F318,1,-0.021217791411042956,0.12125634050745952,3.659509202453988,11318
68,L0_S11_F322,0,-0.05096875000000002,0.27744687317432604,2336.03125,11322
69,L0_S11_F322,1,-0.024661971830985903,0.20845718598873506,16.802816901408452,11322
70,L0_S11_F326,0,0.03886619718309857,0.22425020748114105,315.72535211267603,11326
71,L0_S11_F326,1,0.04368275862068966,0.13343778683079754,4.113793103448277,11326
72,L0_S12_F330,0,-0.11276635514018694,0.20268567445907296,2249.88785046729,12330
73,L0_S12_F330,1,-0.009174603174603177,0.11391473037413098,21.0,12330
74,L0_S12_F332,0,-0.11003669724770644,0.2386024093590712,2208.6055045871562,12332
75,L0_S12_F332,1,-0.011199999999999998,0.1386872831228588,20.353846153846156,12332
76,L0_S12_F334,0,-0.022097560975609755,0.1822356722595838,5871.658536585366,12334
77,L0_S12_F334,1,-0.010970588235294116,0.13614641968697852,38.911764705882355,12334
78,L0_S12_F336,0,0.011384615384615387,0.3284942213210083,6172.769230769231,12336
79,L0_S12_F336,1,-0.015687500000000004,0.31981642289732204,41.34375,12336
80,L0_S12_F338,0,0.14122222222222222,0.2965121871427598,13374.333333333336,12338
81,L0_S12_F338,1,0.030100000000000005,0.16820916212329878,132.3,12338
82,L0_S12_F340,0,-0.038571428571428576,0.32199467608730964,17195.571428571428,12340
83,L0_S12_F340,1,0.0385,0.2331290772655069,132.3,12340
84,L0_S12_F342,0,0.07564285714285714,0.2067231489636812,8597.785714285714,12342
85,L0_S12_F342,1,0.004,0.01904380914278093,82.6875,12342
86,L0_S12_F344,0,0.15355555555555558,0.2620545059764553,8916.222222222223,12344
87,L0_S12_F344,1,0.02164705882352942,0.15778028282094952,77.82352941176471,12344
88,L0_S12_F346,0,0.054982142857142834,0.2489773929379595,1432.9642857142858,12346
89,L0_S12_F346,1,0.006719626168224298,0.1622203715653565,12.36448598130841,12346
90,L0_S12_F348,0,0.018544378698224853,0.2517374851142858,1424.4852071005914,12348
91,L0_S12_F348,1,-0.010898148148148145,0.16362956453239724,12.25,12348
92,L0_S12_F350,0,-0.10022349570200567,0.17620633939806712,329.93409742120343,12350
93,L0_S12_F350,1,0.02550230414746544,0.2424319753807043,2.032258064516129,12350
94,L0_S12_F352,0,-0.10331534090909096,0.17747446345063686,330.0426136363636,12352
95,L0_S12_F352,1,0.025902777777777768,0.24294949855583506,2.0416666666666665,12352
96,L0_S13_F354,0,-0.0043011583011582965,0.23177164407807346,929.5057915057916,13354
97,L0_S13_F354,1,-0.04806878306878306,0.18065975581568672,7.0,13354
98,L0_S13_F356,0,0.0006242299794661141,0.14744538107161725,449.83778234086236,13356
99,L0_S13_F356,1,0.014048732943469774,0.1861100658342712,2.5789473684210527,13356
100,L0_S14_F358,0,0.16633333333333333,0.3559026084010437,19990.666666666668,14358
101,L0_S14_F358,1,0.033,0.1,227.0,14358
102,L0_S14_F362,0,0.12243048576214415,0.2975587031507173,162.29145728643215,14362
103,L0_S14_F362,1,0.06487344913151369,0.28277044706985177,1.6898263027295286,14362
104,L0_S14_F366,0,0.28028571428571425,0.3891382420536067,17134.85714285714,14366
105,L0_S14_F366,1,0.016,0.12909944487358058,170.25,14366
106,L0_S14_F370,0,-0.017926956521739132,0.19960044117879566,173.06434782608696,14370
107,L0_S14_F370,1,0.025440000000000008,0.24422862162867304,1.6023529411764703,14370
108,L0_S14_F374,0,-0.03230555555555556,0.16414433012172888,3331.777777777778,14374
109,L0_S14_F374,1,-0.0028333333333333327,0.007608157330853149,28.375,14374
110,L0_S14_F378,0,-0.5,0.7071067811865476,59972.0,14378
111,L0_S14_F378,1,0.0,0.0,681.0,14378
112,L0_S14_F382,0,0.2648,0.392656592966424,23988.8,14382
113,L0_S14_F382,1,0.042666666666666665,0.11150037369145152,227.0,14382
114,L0_S14_F386,0,-0.0142153024911032,0.1961164435853371,168.8167259786477,14386
115,L0_S14_F386,1,0.0378812785388128,0.2427343182569965,1.5547945205479452,14386
116,L0_S14_F390,0,0.11243812709030104,0.17735699036513836,401.1505016722408,14390
117,L0_S14_F390,1,0.009246153846153841,0.06277695986999357,5.2384615384615385,14390
118,L0_S15_F394,0,0.2286666666666667,0.3188521078284832,20134.166666666668,15394
119,L0_S15_F394,1,0.011999999999999992,0.1,213.33333333333331,15394
120,L0_S15_F397,0,0.1919954682779456,0.2918351787185318,165.41842900302117,15397
121,L0_S15_F397,1,0.08997337278106507,0.283121906827576,1.893491124260355,15397
122,L0_S15_F400,0,0.2622857142857143,0.3716116764786032,17257.85714285714,15400
123,L0_S15_F400,1,0.048000000000000015,0.1,213.33333333333331,15400
